,Ranking,Players,Atp_points,Ages,Turned Pro,Weight,height,W-L Year,W-L Career,Title Year,Title Career,Career High Date,Career High Rank,Year Price Money,Career Price Money,Aces,Double Faults,First Serves,First Serve Points Won,Second Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
99,100,Marin Cilic,610,34,2005,196lbs(89kg),"6'6""(198cm)",1-0,582-327,0,20,Career High 2018.01.29,3,"$19,425","$31,200,667","7,982","2,594",57%,77%,52%,"4,990",64%,"11,031",84%,66%,30%,50%,"6,430",38%,"10,897",23%,38%,52%
100,101,Jenson Brooksby,610,22,2021,183lbs(83kg),"6'4""(193cm)",5-2,45-33,0,0,Career High 2022.06.13,33,"$192,502","$2,035,768",220,109,64%,67%,52%,524,59%,917,76%,62%,32%,50%,566,43%,912,27%,39%,51%
101,102,Ilya Ivashka,607,29,2013,191lbs(87kg),"6'4""(193cm)",6-14,86-85,0,1,Career High 2022.06.20,40,"$403,181","$3,080,618",868,460,62%,71%,49%,"1,086",61%,"1,908",78%,63%,29%,51%,"1,135",38%,"1,908",23%,38%,50%
102,103,John Isner,595,38,2007,238lbs(108kg),"6'10""(208cm)",4-8,484-311,0,16,Career High 2018.07.16,8,"$282,448","$22,135,488","14,260","1,755",69%,79%,56%,"3,033",71%,"10,898",92%,72%,22%,42%,"3,596",30%,"10,790",10%,30%,51%
103,104,Federico Coria,592,31,2010,161lbs(73kg),"5'11""(180cm)",4-10,42-56,0,0,Career High 2023.02.13,49,"$302,804","$2,262,582",246,245,67%,63%,49%,847,57%,"1,131",68%,58%,32%,51%,708,42%,"1,145",26%,39%,49%
104,105,Pavel Kotov,591,24,2016,196lbs(89kg),"6'3""(191cm)",7-7,9-14,0,0,Career High 2022.10.17,96,"$277,029","$662,664",75,58,63%,68%,48%,162,55%,275,73%,61%,27%,45%,136,37%,282,18%,34%,47%
105,106,Taro Daniel,584,30,2010,185lbs(84kg),"6'3""(191cm)",9-7,76-116,0,1,Career High 2018.08.27,64,"$441,198","$3,442,884",674,456,63%,67%,49%,"1,411",58%,"2,120",72%,60%,27%,49%,"1,122",40%,"2,124",21%,36%,48%
106,107,Radu Albot,580,33,2008,152lbs(69kg),"5'9""(175cm)",6-8,101-136,0,1,Career High 2019.08.05,39,"$242,853","$4,812,014",592,652,64%,66%,49%,"1,703",57%,"2,675",73%,60%,29%,51%,"1,620",37%,"2,684",22%,37%,49%
107,108,Tomas Machac,573,22,2017,163lbs(74kg),"6'0""(183cm)",3-5,11-14,0,0,Career High 2022.12.12,97,"$206,742","$824,401",105,43,63%,66%,51%,181,67%,264,78%,60%,26%,52%,143,37%,268,20%,36%,49%
108,109,Jaume Munar,570,26,2014,168lbs(76kg),"6'0""(183cm)",9-14,71-105,0,0,Career High 2019.05.20,52,"$448,566","$3,485,492",615,524,64%,67%,47%,"1,422",58%,"2,154",72%,60%,32%,50%,"1,364",37%,"2,143",24%,39%,49%
109,110,James Duckworth,565,31,2010,181lbs(82kg),"6'0""(183cm)",0-0,54-88,0,0,Career High 2022.01.31,46,"$110,239","$3,310,096","1,219",434,56%,73%,50%,"1,130",63%,"1,956",79%,63%,24%,47%,819,37%,"1,943",16%,33%,48%
110,111,Juan Manuel Cerundolo,560,21,2018,167lbs(76kg),"6'0""(183cm)",3-5,12-16,0,1,Career High 2022.01.31,79,"$134,599","$620,690",44,60,68%,62%,49%,233,59%,302,69%,58%,33%,48%,184,41%,311,24%,38%,48%
111,112,Borna Gojo,557,25,2020,198lbs(90kg),"6'5""(196cm)",4-3,11-14,0,0,Career High 2023.05.08,102,"$266,238","$648,877",171,65,64%,76%,48%,99,65%,208,83%,66%,26%,47%,106,25%,211,13%,34%,49%
112,113,Zsombor Piros,557,23,2016,150lbs(68kg),"5'11""(180cm)",1-0,6-5,0,0,Career High 2023.06.26,112,"$175,187","$404,012",4,1,59%,52%,58%,7,43%,9,56%,54%,34%,48%,8,13%,9,11%,38%,45%
113,114,Rinky Hijikata,551,22,2021,159lbs(72kg),"5'10""(178cm)",5-4,6-7,0,0,Career High 2023.06.26,113,"$268,998","$880,262",56,35,60%,70%,49%,99,61%,164,76%,61%,30%,44%,79,37%,164,18%,35%,49%
114,115,Facundo Diaz Acosta,548,22,2018,165lbs(75kg),"6'0""(183cm)",1-2,1-4,0,0,Career High 2023.06.26,114,"$187,549","$338,726",16,28,57%,66%,50%,45,51%,73,70%,59%,34%,51%,52,37%,75,25%,40%,49%
115,116,Yosuke Watanuki,547,25,2016,154lbs(70kg),"5'11""(180cm)",4-5,11-13,0,0,Career High 2023.04.03,107,"$242,560","$610,973",176,95,54%,75%,49%,122,66%,229,82%,63%,28%,49%,133,36%,230,21%,36%,50%
116,117,Dominic Stricker,535,20,2020,176lbs(80kg),"6'0""(183cm)",0-1,12-10,0,0,Career High 2022.11.07,111,"$150,495","$666,835",187,55,59%,77%,51%,107,60%,248,83%,66%,25%,49%,114,33%,250,15%,34%,50%
117,118,Jurij Rodionov,533,24,2017,184lbs(83kg),"6'3""(191cm)",1-3,11-20,0,0,Career High 2023.06.12,114,"$225,381","$891,476",152,75,61%,68%,50%,174,60%,282,76%,61%,25%,48%,130,32%,283,15%,34%,48%
118,119,Michael Mmoh,527,25,2016,198lbs(90kg),"6'2""(188cm)",6-6,17-32,0,0,Career High 2023.02.20,82,"$347,592","$1,744,119",252,203,66%,67%,46%,440,58%,658,72%,60%,29%,47%,340,39%,666,20%,36%,48%
119,120,Aleksandar Kovacevic,519,24,2021,174lbs(79kg),"6'0""(183cm)",1-5,4-6,0,0,Career High 2023.04.03,101,"$237,893","$442,495",90,21,59%,75%,46%,78,65%,127,79%,63%,27%,43%,57,35%,125,16%,33%,49%
120,121,Fabio Fognini,513,36,2004,174lbs(79kg),"5'10""(178cm)",7-7,223-221,1,8,Career High 2019.07.15,7,"$104,375","$17,990,846","2,435","2,981",59%,67%,48%,"5,970",57%,"9,087",72%,60%,32%,51%,"5,735",43%,"9,163",27%,39%,49%
121,122,Pedro Martinez,505,26,2016,168lbs(76kg),"6'1""(185cm)",4-12,50-68,0,1,Career High 2022.05.09,40,"$347,594","$3,137,449",256,445,65%,65%,49%,988,60%,"1,450",73%,60%,31%,51%,896,39%,"1,450",24%,38%,49%
122,123,David Goffin,503,32,2009,154lbs(70kg),"5'11""(180cm)",7-12,326-235,0,6,Career High 2017.11.20,7,"$302,380","$16,777,113","2,746","1,804",58%,71%,50%,"3,668",60%,"6,373",77%,62%,31%,52%,"4,267",41%,"6,450",27%,40%,51%
123,124,Cristian Garin,498,27,2011,187lbs(85kg),"6'1""(185cm)",16-11,115-104,0,5,Career High 2021.09.13,17,"$414,571","$5,424,054",786,588,61%,69%,50%,"1,512",60%,"2,433",75%,62%,31%,50%,"1,481",40%,"2,446",24%,38%,50%
124,125,Giulio Zeppieri,497,21,2019,180lbs(82kg),"6'0""(183cm)",1-3,4-9,0,0,Career High 2023.02.27,115,"$239,736","$539,457",64,32,61%,70%,50%,105,62%,181,78%,62%,28%,44%,92,36%,183,18%,34%,48%
125,126,Facundo Bagnis,496,33,2008,180lbs(82kg),"6'0""(183cm)",1-7,38-81,0,0,Career High 2016.11.14,55,"$195,644","$2,784,985",567,384,61%,67%,49%,950,60%,"1,419",73%,60%,28%,47%,708,37%,"1,407",19%,36%,48%
126,127,Emilio Gomez,492,31,2013,179lbs(81kg),"6'1""(185cm)",4-5,23-28,0,0,Career High 2023.02.27,90,"$176,334","$1,013,696",83,68,61%,68%,44%,206,56%,293,69%,59%,26%,47%,134,39%,301,17%,34%,47%
127,128,Andrea Vavassori,482,28,2014,176lbs(80kg),"6'3""(191cm)",4-5,5-7,0,0,Career High 2023.06.19,128,"$220,543","$997,346",61,56,61%,70%,47%,102,63%,160,76%,61%,28%,43%,57,47%,162,17%,33%,48%
128,129,Hugo Grenier,478,27,2013,187lbs(85kg),"6'5""(196cm)",2-4,5-10,0,0,Career High 2022.09.12,95,"$216,212","$782,942",100,55,65%,69%,46%,120,55%,211,74%,61%,25%,46%,98,38%,214,17%,33%,48%
129,130,Otto Virtanen,473,22,,180lbs(82kg),"6'3""(191cm)",0-1,3-4,0,0,Career High 2023.04.03,109,"$167,468","$256,752",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
130,131,Thiago Seyboth Wild,462,23,2018,176lbs(80kg),"6'1""(185cm)",2-1,11-16,0,1,Career High 2020.09.14,106,"$239,114","$797,158",122,80,58%,69%,53%,178,60%,311,77%,62%,30%,48%,183,34%,309,20%,37%,49%
131,132,Thiago Agustin Tirante,456,22,2016,178lbs(81kg),"6'1""(185cm)",1-1,1-2,0,0,Career High 2023.06.12,132,"$189,218","$400,826",11,4,67%,62%,58%,31,68%,47,79%,61%,28%,51%,26,42%,48,23%,37%,49%
132,133,Tomas Barrios Vera,456,25,2019,194lbs(88kg),"6'3""(191cm)",2-2,4-8,0,0,Career High 2022.06.13,124,"$152,538","$608,861",33,18,62%,67%,50%,84,63%,117,74%,60%,27%,47%,52,38%,120,17%,34%,47%
133,134,Felipe Meligeni Alves,453,25,2016,173lbs(78kg),"6'1""(185cm)",1-2,2-5,0,0,Career High 2023.06.19,129,"$230,913","$663,715",14,5,70%,64%,49%,24,33%,50,68%,60%,30%,45%,19,53%,53,19%,36%,47%
134,135,Raul Brancaccio,447,26,,162lbs(73kg),"6'1""(185cm)",0-0,0-1,0,0,Career High 2023.02.13,121,"$115,981","$345,354",1,6,57%,63%,59%,6,50%,10,70%,61%,29%,40%,6,33%,11,18%,31%,46%
135,136,Rafael Nadal,445,37,2001,187lbs(85kg),"6'1""(185cm)",1-3,1068-220,0,92,Career High 2008.08.18,1,"$310,797","$134,640,719","3,974","2,139",68%,72%,57%,"6,448",66%,"15,065",86%,67%,34%,55%,"11,099",45%,"14,913",33%,42%,54%
136,137,Hugo Gaston,445,22,2018,149lbs(68kg),"5'8""(173cm)",2-6,24-37,0,0,Career High 2022.07.11,58,"$231,008","$1,847,026",167,152,56%,65%,49%,631,63%,762,69%,58%,32%,48%,455,40%,771,23%,38%,48%
137,138,Timofey Skatov,443,22,2019,159lbs(72kg),"5'9""(175cm)",2-2,3-5,0,0,Career High 2023.02.13,125,"$209,225","$426,278",9,14,74%,57%,49%,68,57%,82,65%,55%,28%,53%,41,34%,83,17%,37%,46%
138,139,Arthur Cazaux,442,20,2020,162lbs(73kg),"6'0""(183cm)",0-1,1-3,0,0,Career High 2023.06.26,139,"$159,347","$366,671",24,7,57%,70%,49%,43,67%,62,77%,61%,27%,42%,26,31%,60,13%,33%,48%
139,140,Gabriel Diallo,437,21,2023,198lbs(90kg),"6'8""(203cm)",0-1,0-2,0,0,Career High 2023.06.12,139,"$106,865","$150,820",18,2,76%,74%,56%,3,33%,17,88%,70%,14%,46%,4,25%,17,6%,25%,48%
140,141,Filip Misolic,432,21,2019,165lbs(75kg),"5'11""(180cm)",0-0,5-2,0,0,Career High 2023.04.24,126,"$119,525","$289,147",19,18,54%,67%,51%,49,63%,63,71%,60%,34%,46%,44,39%,64,27%,39%,49%
141,142,Liam Broady,422,29,2014,172lbs(78kg),"6'0""(183cm)",2-4,16-27,0,0,Career High 2022.02.14,116,"$140,341","$1,600,877",157,92,63%,66%,49%,325,56%,509,72%,60%,28%,47%,266,38%,501,20%,35%,48%
142,143,Nicolas Moreno De Alboran,416,25,2019,180lbs(82kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.06.19,141,"$124,511","$256,798",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
143,144,Ivan Gakhov,414,26,,182lbs(83kg),"6'3""(191cm)",1-1,1-2,0,0,Career High 2023.06.19,142,"$117,378","$312,869",18,16,55%,70%,50%,23,57%,41,76%,61%,25%,46%,20,20%,39,10%,32%,47%
144,145,Alejandro Tabilo,411,26,2015,165lbs(75kg),"6'2""(188cm)",3-3,25-26,0,0,Career High 2022.07.25,64,"$236,793","$1,218,875",269,144,64%,69%,48%,330,56%,552,74%,62%,31%,50%,309,42%,538,24%,38%,50%
145,146,Norbert Gombos,406,32,2009,187lbs(85kg),"6'4""(193cm)",0-0,28-59,0,0,Career High 2017.10.02,80,"$92,367","$2,196,564",348,261,61%,70%,46%,549,60%,865,75%,61%,28%,48%,458,34%,875,18%,35%,48%
146,147,Benoit Paire,404,34,2007,176lbs(80kg),"6'5""(196cm)",0-4,241-295,0,3,Career High 2016.01.11,18,"$225,953","$10,211,573","4,542","2,805",52%,74%,45%,"4,316",60%,"6,658",74%,60%,31%,49%,"3,921",40%,"6,679",23%,38%,49%
147,148,Francesco Passaro,402,22,2019,178lbs(81kg),"5'11""(180cm)",2-4,4-9,0,0,Career High 2023.02.13,108,"$174,612","$471,525",45,41,63%,65%,49%,86,50%,135,68%,59%,26%,54%,53,43%,136,17%,36%,47%
148,149,Francesco Maestrelli,391,20,2020,172lbs(78kg),"6'5""(196cm)",0-0,0-1,0,0,Career High 2023.06.26,149,"$105,110","$206,382",9,1,72%,66%,47%,8,50%,12,67%,61%,30%,33%,4,25%,13,8%,31%,45%
149,150,Flavio Cobolli,390,21,2020,156lbs(71kg),"5'8""(173cm)",3-4,4-8,0,0,Career High 2022.07.25,133,"$183,040","$479,646",40,36,60%,64%,47%,115,58%,145,67%,57%,33%,47%,89,43%,149,26%,38%,48%
150,151,Jozef Kovalik,385,30,2010,181lbs(82kg),"6'0""(183cm)",1-2,24-47,0,0,Career High 2018.10.22,80,"$112,361","$1,681,000",219,175,61%,67%,49%,535,60%,781,72%,60%,28%,49%,416,38%,780,20%,36%,48%
151,152,Lukas Klein,385,25,,187lbs(85kg),"6'4""(193cm)",0-2,2-7,0,0,Career High 2023.05.22,133,"$116,988","$366,635",30,24,64%,68%,53%,44,55%,88,77%,63%,31%,43%,58,21%,89,13%,36%,49%
152,153,Gijs Brouwer,383,27,2016,161lbs(73kg),"6'3""(191cm)",6-5,9-7,0,0,Career High 2023.02.27,114,"$184,730","$487,524",76,33,68%,73%,50%,67,55%,175,83%,65%,28%,47%,92,35%,176,18%,36%,50%
153,154,Luca Nardi,381,19,,176lbs(80kg),"6'1""(185cm)",1-4,2-9,0,0,Career High 2022.11.07,126,"$173,462","$397,610",24,26,62%,62%,49%,80,51%,121,68%,57%,27%,47%,66,26%,117,15%,34%,46%
154,155,Juncheng  Shang,373,18,2021,162lbs(73kg),"5'11""(180cm)",1-3,1-6,0,0,Career High 2023.06.26,155,"$242,290","$352,535",11,22,67%,64%,49%,73,63%,103,74%,59%,26%,48%,48,35%,105,16%,34%,47%
155,156,Hamad Medjedovic,371,19,2021,190lbs(86kg),"6'2""(188cm)",1-2,1-5,0,0,Career High 2023.06.19,156,"$123,725","$204,088",24,21,63%,64%,40%,38,42%,57,61%,55%,25%,45%,11,73%,56,14%,32%,44%
156,157,Vasek Pospisil,368,33,2007,194lbs(88kg),"6'4""(193cm)",0-1,134-173,0,0,Career High 2014.01.27,25,"$105,859","$7,064,889","2,696",994,58%,76%,50%,"1,687",63%,"3,609",83%,65%,26%,45%,"1,460",37%,"3,558",15%,33%,49%
157,158,Enzo Couacaud,363,28,2013,172lbs(78kg),"6'0""(183cm)",1-1,2-6,0,0,Career High 2023.04.24,153,"$155,746","$1,000,296",72,26,58%,71%,52%,74,61%,141,79%,63%,26%,46%,57,39%,142,15%,33%,49%
158,159,Dennis Novak,362,29,2011,178lbs(81kg),"6'0""(183cm)",0-1,26-51,0,0,Career High 2020.03.02,85,"$52,247","$1,775,741",295,165,64%,67%,48%,474,54%,777,72%,60%,26%,49%,354,40%,774,18%,35%,48%
159,160,Mattia Bellucci,358,22,,158lbs(72kg),"5'10""(178cm)",0-1,0-1,0,0,Career High 2023.01.30,142,"$173,388","$241,137",9,7,59%,81%,48%,7,43%,20,80%,67%,26%,44%,15,20%,21,14%,34%,49%
160,161,Alexander Ritschard,357,29,2018,180lbs(82kg),"6'4""(193cm)",2-2,4-5,0,0,Career High 2023.06.19,160,"$102,539","$415,599",37,21,58%,71%,46%,68,63%,104,76%,60%,29%,49%,63,32%,103,19%,37%,49%
161,162,Sho Shimabukuro,357,25,,173lbs(78kg),"5'11""(180cm)",0-0,1-2,0,0,Career High 2023.06.26,162,"$39,030","$121,835",6,2,61%,76%,31%,5,60%,10,80%,58%,26%,33%,2,0%,10,0%,28%,43%
162,163,Geoffrey Blancaneaux,349,24,2016,165lbs(75kg),"5'11""(180cm)",0-2,0-6,0,0,Career High 2022.11.14,134,"$137,333","$657,564",32,18,63%,66%,42%,49,41%,81,64%,57%,26%,44%,34,32%,82,13%,33%,45%
163,164,Jan Choinski,348,27,,193lbs(88kg),"6'5""(196cm)",0-2,0-3,0,0,Career High 2023.07.03,164,"$94,329","$274,953",5,1,67%,57%,52%,8,25%,14,57%,55%,22%,39%,3,33%,13,8%,29%,43%
164,165,Damir Dzumhur,347,31,2011,150lbs(68kg),"5'9""(175cm)",2-4,127-140,0,3,Career High 2018.07.02,23,"$115,794","$4,804,390",586,648,64%,65%,49%,"1,877",56%,"2,806",71%,59%,32%,50%,"1,741",43%,"2,855",26%,39%,49%
165,166,Leandro Riedi,346,21,,171lbs(78kg),"6'3""(191cm)",1-2,1-4,0,0,Career High 2023.03.20,126,"$128,703","$227,930",19,21,59%,62%,52%,38,58%,57,72%,58%,22%,46%,28,29%,57,14%,32%,46%
166,167,Jelle Sels,346,27,,183lbs(83kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2022.11.28,127,"$55,183","$261,531",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
167,168,Emilio Nava,345,21,2018,174lbs(79kg),"6'1""(185cm)",1-3,2-10,0,0,Career High 2023.07.03,168,"$207,290","$524,623",75,51,60%,66%,43%,104,50%,151,66%,57%,23%,40%,39,41%,155,10%,29%,44%
168,169,Elias Ymer,344,27,2014,171lbs(78kg),"6'1""(185cm)",3-6,39-69,0,0,Career High 2018.06.11,105,"$220,843","$1,723,021",344,286,58%,68%,47%,683,58%,994,71%,60%,27%,48%,512,37%,993,19%,36%,48%
169,170,Maximilian Marterer,342,28,2015,171lbs(78kg),"6'2""(188cm)",2-2,28-57,0,0,Career High 2018.08.13,45,"$118,001","$2,131,261",538,180,63%,70%,53%,553,60%,"1,045",79%,63%,24%,44%,399,37%,"1,050",14%,32%,48%
170,171,Hugo Dellien,340,30,2009,165lbs(75kg),"5'11""(180cm)",5-8,38-55,0,0,Career High 2022.08.01,64,"$292,437","$1,873,149",130,118,73%,62%,47%,602,57%,804,68%,58%,30%,50%,459,38%,800,22%,38%,48%
171,172,Yunchaokete Bu,332,21,,181lbs(82kg),"6'1""(185cm)",0-0,0-1,0,0,Career High 2023.05.08,164,"$59,086","$99,215",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
172,173,Zdenek Kolar,332,26,2014,174lbs(79kg),"6'0""(183cm)",0-0,1-3,0,0,Career High 2022.06.13,111,"$94,676","$897,819",17,22,65%,69%,44%,39,59%,65,75%,60%,27%,41%,22,41%,66,14%,32%,47%
173,174,Camilo Ugo Carabelli,331,24,2016,182lbs(83kg),"6'1""(185cm)",1-2,2-3,0,0,Career High 2022.08.15,96,"$90,937","$393,927",7,8,68%,58%,48%,42,40%,64,61%,55%,33%,47%,29,45%,64,20%,38%,47%
174,175,Franco Agamenone,330,30,2010,176lbs(80kg),"6'3""(191cm)",0-0,3-2,0,0,Career High 2022.08.01,108,"$83,664","$426,410",6,13,65%,63%,50%,46,54%,63,67%,59%,35%,55%,50,44%,64,34%,42%,50%
175,176,Marc Polmans,329,26,2015,172lbs(78kg),"6'2""(188cm)",0-0,5-14,0,0,Career High 2020.10.12,116,"$128,579","$1,429,479",80,74,66%,65%,48%,210,59%,303,71%,59%,31%,50%,183,37%,299,23%,38%,49%
176,177,Jesper de Jong,328,23,,154lbs(70kg),"5'11""(180cm)",0-0,0-2,0,0,Career High 2022.06.13,160,"$104,062","$377,165",12,7,65%,63%,50%,19,74%,19,74%,59%,24%,44%,9,22%,21,10%,30%,45%
177,178,Zizou Bergs,327,24,2018,189lbs(86kg),"6'1""(185cm)",1-7,4-17,0,0,Career High 2023.02.06,112,"$211,593","$579,428",78,40,65%,69%,48%,100,59%,177,77%,62%,28%,44%,71,39%,179,16%,34%,48%
178,179,Genaro Alberto Olivieri,323,24,2016,161lbs(73kg),"5'9""(175cm)",2-1,2-1,0,0,Career High 2023.06.12,173,"$207,492","$363,626",8,9,71%,66%,48%,42,60%,61,72%,60%,28%,50%,34,35%,59,20%,36%,49%
179,180,Denis Kudla,323,30,2010,175lbs(79kg),"5'11""(180cm)",4-5,71-129,0,0,Career High 2016.05.23,53,"$249,838","$4,406,989","1,150",682,58%,70%,51%,"1,511",58%,"2,594",75%,62%,26%,49%,"1,192",40%,"2,614",18%,35%,48%
180,181,Harold Mayot,321,21,2020,171lbs(78kg),"5'10""(178cm)",0-0,0-2,0,0,Career High 2023.06.26,180,"$53,674","$258,090",7,3,51%,63%,53%,15,53%,27,74%,58%,24%,44%,12,33%,28,14%,32%,46%
181,182,Oleksii Krutykh,320,23,,173lbs(78kg),"6'1""(185cm)",0-3,1-3,0,0,Career High 2023.02.27,160,"$158,551","$247,800",16,11,56%,69%,46%,37,62%,50,72%,59%,28%,41%,25,24%,50,12%,32%,46%
182,183,Pablo Llamas Ruiz,318,20,,176lbs(80kg),"6'2""(188cm)",1-1,1-1,0,0,Career High 2023.06.19,179,"$65,547","$108,048",3,2,69%,70%,43%,13,54%,25,76%,62%,31%,57%,17,35%,24,25%,38%,50%
183,184,Dimitar Kuzmanov,317,29,2009,170lbs(77kg),"6'0""(183cm)",5-1,21-16,0,0,Career High 2022.08.29,159,"$162,669","$709,337",45,46,62%,66%,50%,119,64%,165,74%,60%,31%,52%,95,45%,158,27%,40%,50%
184,185,Antoine Escoffier,317,31,,173lbs(78kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.03.20,180,"$84,493","$322,886",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
185,186,Nicolas Kicker,312,30,2009,165lbs(75kg),"5'10""(178cm)",0-0,19-29,0,0,Career High 2017.06.12,78,"$56,326","$1,083,176",104,120,63%,66%,51%,358,58%,555,73%,60%,30%,50%,287,45%,559,23%,38%,49%
186,187,Maximilian Neuchrist,309,31,,,,0-0,2-3,0,0,Career High 2023.04.17,135,"$7,096","$316,601",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
187,188,Kimmer Coppejans,309,29,2012,150lbs(68kg),"5'11""(180cm)",0-0,3-15,0,0,Career High 2015.06.22,97,"$71,326","$955,905",52,26,64%,64%,48%,96,54%,136,68%,58%,26%,46%,70,29%,140,14%,33%,46%
188,189,Frederico Ferreira Silva,309,28,2013,163lbs(74kg),"5'10""(178cm)",0-0,5-8,0,0,Career High 2021.05.24,168,"$126,220","$663,561",17,17,61%,62%,49%,48,50%,70,66%,57%,25%,47%,30,50%,73,21%,33%,46%
189,190,Vitaliy Sachko,308,25,,162lbs(73kg),"6'2""(188cm)",0-1,0-4,0,0,Career High 2023.06.19,187,"$43,057","$233,121",10,11,64%,61%,46%,29,59%,31,61%,55%,23%,54%,13,46%,31,19%,35%,46%
190,191,Mariano Navone,307,22,,160lbs(73kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2023.06.26,190,"$69,045","$125,519",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
191,192,Nicholas David Ionel,304,20,,160lbs(73kg),"6'1""(185cm)",1-1,2-2,0,0,Career High 2023.06.12,184,"$81,479","$174,274",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
192,193,Dalibor Svrcina,300,20,,149lbs(68kg),"5'10""(178cm)",1-2,1-2,0,0,Career High 2022.07.18,167,"$200,958","$360,106",1,12,72%,60%,42%,25,48%,35,63%,55%,36%,53%,31,42%,37,35%,43%,49%
193,194,Riccardo Bonadio,300,29,,173lbs(78kg),"5'11""(180cm)",1-2,1-2,0,0,Career High 2023.05.22,164,"$113,483","$409,228",4,7,62%,68%,57%,17,65%,33,82%,64%,23%,47%,14,29%,34,12%,33%,48%
194,195,Andrea Collarini,297,31,2010,171lbs(78kg),"6'0""(183cm)",0-0,0-1,0,0,Career High 2023.04.24,177,"$94,762","$659,385",0,2,72%,50%,38%,8,38%,8,38%,47%,33%,47%,2,100%,9,22%,39%,43%
195,196,Yu Hsiou Hsu,296,24,,154lbs(70kg),"5'10""(178cm)",1-1,2-1,0,0,Career High 2023.04.17,186,"$127,002","$270,864",3,2,73%,58%,36%,14,57%,13,54%,52%,14%,29%,1,0%,12,0%,21%,40%
196,197,Joris De Loore,296,30,2011,190lbs(86kg),"6'3""(191cm)",0-0,1-4,0,0,Career High 2016.10.17,174,"$64,381","$333,903",20,6,57%,74%,50%,13,54%,24,75%,64%,21%,49%,11,36%,25,16%,32%,48%
197,198,Seongchan Hong,291,26,,143lbs(65kg),"5'9""(175cm)",1-1,3-11,0,0,Career High 2023.05.08,184,"$65,316","$177,012",4,4,45%,70%,42%,7,57%,9,67%,55%,15%,30%,3,0%,9,0%,22%,41%
198,199,Laurent Lokoli,290,28,,171lbs(78kg),"6'2""(188cm)",0-2,0-7,0,0,Career High 2023.02.27,167,"$150,087","$474,787",75,36,58%,70%,48%,75,57%,128,75%,61%,28%,45%,61,41%,128,20%,36%,48%
199,200,Kaichi Uchida,290,28,2012,,"5'11""(180cm)",1-0,3-3,0,0,Career High 2023.05.08,147,"$110,312","$462,685",18,11,53%,69%,54%,26,65%,44,80%,62%,22%,53%,17,24%,43,9%,33%,47%
200,201,Brandon Holt,286,25,2020,180lbs(82kg),"6'1""(185cm)",1-3,2-5,0,0,Career High 2023.05.22,180,"$202,999","$417,920",62,13,66%,67%,48%,76,63%,122,77%,60%,28%,46%,52,44%,122,19%,35%,48%
201,202,Zachary Svajda,285,20,2019,145lbs(66kg),"5'9""(175cm)",0-1,1-5,0,0,Career High 2023.06.19,201,"$81,579","$357,365",26,12,67%,66%,50%,53,49%,98,72%,61%,25%,50%,46,35%,98,16%,35%,48%
202,203,Dragos Nicolae Madaras,285,25,,187lbs(85kg),"6'3""(191cm)",0-0,0-3,0,0,Career High 2023.06.19,202,"$62,522","$161,615",3,6,56%,61%,46%,10,60%,9,56%,55%,14%,44%,1,0%,8,0%,26%,42%
203,204,Ricardas Berankis,283,33,2007,170lbs(77kg),"5'9""(175cm)",1-1,133-152,0,0,Career High 2016.05.23,50,"$89,846","$4,796,421","1,068",860,57%,70%,51%,"1,798",59%,"3,122",76%,62%,27%,49%,"1,653",37%,"3,156",19%,36%,49%
204,205,Titouan Droguet,283,22,,176lbs(80kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.07.03,205,"$41,848","$108,652",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
205,206,Filip Krajinovic,281,31,2008,165lbs(75kg),"6'1""(185cm)",3-12,123-131,0,0,Career High 2018.04.23,26,"$292,926","$6,138,952","1,084",468,64%,68%,51%,"1,771",60%,"2,881",76%,62%,28%,51%,"1,591",41%,"2,884",23%,37%,50%
206,207,Federico Delbonis,281,32,2007,198lbs(90kg),"6'4""(193cm)",1-1,164-200,0,2,Career High 2016.05.09,33,"$89,726","$6,100,346","1,260","1,204",61%,69%,51%,"2,549",60%,"4,260",76%,62%,29%,50%,"2,369",40%,"4,284",22%,37%,49%
